id,받은날짜,경로,별점,내용
41,2026-05-17,이메일,5.0,매장이 깨끗해요.
42,2026/05/23,카카오톡,,당도 조절 기능 있으면 좋겠어요.
43,2026-05-17,앱리뷰,1.0,가격이 조금 비싸요.
44,26.5.29,카카오톡,2.0,당도 조절 기능 있으면 좋겠어요.
45,26.5.4,카카오톡,5.0,직원분이 친절했습니다.
46,2026-05-26,앱리뷰,,음료가 미지근했어요.
47,2026/05/13,앱리뷰,,주차가 조금 불편했어요.
48,2026-05-04,전화메모,2.0,가격이 조금 비싸요.
49,2026/05/16,전화메모,,주차가 조금 불편했어요.
50,2026/05/23,앱리뷰,1.0,당도 조절 기능 있으면 좋겠어요.
51,2026-05-29,인스타DM,,신메뉴 기대됩니다.
52,2026-05-05,전화메모,3.0,당도 조절 기능 있으면 좋겠어요.
53,26.5.7,설문,1.0,좌석이 편안해요.
54,26.5.12,카카오톡,3.0,가격이 조금 비싸요.
55,2026-05-13,앱리뷰,5.0,당도 조절 기능 있으면 좋겠어요.
56,2026/05/20,전화메모,,샌드위치가 신선했어요.
57,2026-05-24,전화메모,5.0,쿠폰 사용이 쉬웠어요.
58,2026-05-11,이메일,4.0,샌드위치가 신선했어요.
59,2026-05-23,이메일,,직원분이 친절했습니다.
60,2026/05/26,전화메모,3.0,당도 조절 기능 있으면 좋겠어요.
61,2026-05-11,앱리뷰,2.0,음악이 너무 커요.
62,26.5.15,전화메모,3.0,음료가 미지근했어요.
63,2026-05-19,인스타DM,,매장이 깨끗해요.
64,26.5.12,카카오톡,4.0,당도 조절 기능 있으면 좋겠어요.
65,2026-05-13,이메일,5.0,매장이 깨끗해요.
66,2026/05/23,카카오톡,2.0,배달이 늦었습니다.
67,2026/05/13,인스타DM,,직원분이 친절했습니다.
68,2026-05-02,설문,5.0,주문이 빨랐어요.
69,2026/05/26,이메일,1.0,음악이 너무 커요.
70,2026-05-28,앱리뷰,3.0,샌드위치가 신선했어요.
71,2026-05-19,인스타DM,,직원분이 친절했습니다.
72,2026/05/27,전화메모,2.0,가격이 조금 비싸요.
73,2026-05-21,인스타DM,1.0,샌드위치가 신선했어요.
74,2026-05-13,카카오톡,,쿠폰 사용이 쉬웠어요.
75,2026-05-14,이메일,2.0,샌드위치가 신선했어요.
76,26.5.17,앱리뷰,1.0,당도 조절 기능 있으면 좋겠어요.
77,2026-05-26,전화메모,,적립이 안됐어요.
78,2026-05-07,전화메모,1.0,샌드위치가 신선했어요.
79,2026-05-07,이메일,,가격이 조금 비싸요.
80,2026-05-04,전화메모,1.0,신메뉴 기대됩니다.
81,2026-05-09,이메일,2.0,매장이 깨끗해요.
82,2026-05-10,이메일,,주차가 조금 불편했어요.
83,2026/05/16,이메일,,적립이 안됐어요.
84,2026-05-16,앱리뷰,2.0,디카페인 메뉴 늘려주세요.
85,2026-05-20,카카오톡,5.0,쿠폰 사용이 쉬웠어요.
86,26.5.25,전화메모,5.0,가격이 조금 비싸요.
87,2026-05-23,카카오톡,5.0,와이파이가 느려요.
88,2026-05-15,인스타DM,,음악이 너무 커요.
89,2026-05-18,전화메모,,신메뉴 기대됩니다.
90,26.5.21,인스타DM,1.0,신메뉴 기대됩니다.
91,26.5.28,전화메모,2.0,주차가 조금 불편했어요.
92,2026-05-14,카카오톡,1.0,당도 조절 기능 있으면 좋겠어요.
93,2026-05-03,설문,,앱이 자꾸 종료돼요.
94,2026-05-29,인스타DM,5.0,샌드위치가 신선했어요.
95,2026-05-19,앱리뷰,1.0,화장실이 청결했어요.
96,2026/05/10,카카오톡,,매장이 깨끗해요.
97,2026-05-18,설문,,가격이 조금 비싸요.
98,26.5.29,카카오톡,3.0,쿠폰 사용이 쉬웠어요.
99,2026-05-30,앱리뷰,4.0,가격이 조금 비싸요.
100,26.5.22,전화메모,3.0,매장이 깨끗해요.
